 
> ./lagrange.exe

 interpolacja wielomianem Lagrange'a (krok=0.1) 

        X           Y
   -1.130000    1.276900
   -1.030000    1.060900
   -0.930000    0.864900
   -0.830000    0.688900
   -0.730000    0.532900
   -0.630000    0.396900
   -0.530000    0.280900
   -0.430000    0.184900
   -0.330000    0.108900
   -0.230000    0.052900
   -0.130000    0.016900
   -0.030000    0.000900
   0.070000     0.004900
   0.170000     0.028900
   0.270000     0.072900
   0.370000     0.136900
   0.470000     0.220900
   0.570000     0.324900
   0.670000     0.448900
   0.770000     0.592900
   0.870000     0.756900
   0.970000     0.940900
   1.070000     1.144900
   1.170000     1.368900
   1.270000     1.612900
   1.370000     1.876900
   1.470000     2.160900
   1.570000     2.464900
   1.670000     2.788900
   1.770000     3.132900
   1.870000     3.496900
   1.970000     3.880900
   2.070000     4.284900
   2.170000     4.708900
   2.270000     5.152900
   2.370000     5.616900
   2.470000     6.100900
