> ./lagrange2.exe

 interpolacja wielomianem Lagrange'a (krok=0.1) 

        X           Y
 -1.130000 45554380087875086581760.000000
 -1.030000 1806115638071220224.000000
 -0.930000 -2642675455883.712402
 -0.830000 650869409.817582
 -0.730000 152128.558752
 -0.630000 -7005.588991
 -0.530000 -71.899287
 -0.430000 28.189919
 -0.330000 -4.555994
 -0.230000 1.955900
 -0.130000 0.646219
 -0.030000 0.937604
 0.070000 1.439235
 0.170000 -0.908052
 0.270000 8.954049
 0.370000 -41.768927
 0.470000 -216.564982
 0.570000 51384.731020
 0.670000 -7949491.579850
 0.770000 2407506467.559862
 0.870000 -1900072517928.946533
 0.970000 -9450366279646488.000000
 1.070000 147744827767989733425152.000000
 1.170000 2789669241243364175466463232.000000
 1.270000 6431787771207121721710155399168.000000
 1.370000 4637399684133161966298467074572288.000000
 1.470000 1513067362505953628131449244494069760.000000
 1.570000 272487413908526122834760842485629452288.000000
 1.670000 30634272702485990321987270231687908294656.000000
 1.770000 2335303005205810458370387208216023790518272.000000
 1.870000 127924645956071664706964302825930073822986240.000000
 1.970000 5247410356821774382776158545587473080752537600.000000
 2.070000 165771279788486085729567116503408056346190282752.000000
 2.170000 4095347657854276061949010396297681159500177866752.000000
 2.270000 78951923977594049167618969849438003266168299716608.000000
 2.370000 1141984028053992954958807261618247753014119292207104.000000
 2.470000 10335158845032197135917692238329640633596145446158336.000000 
